container_id,container_no,shipping_line_id,yard_area_id,container_size,container_type,full_empty,gate_in_ts,gate_out_ts,hist
1,MAYU0000001,1,2,40,DRY,FULL,2025-09-06 00:12:00,2025-10-13 00:12:00,Y
2,HLBU0000002,2,4,40,DRY,FULL,2025-09-12 14:09:00,2025-10-11 14:09:00,Y
3,CMAU0000003,3,4,40,REEFER,FULL,2025-11-26 13:48:00,2025-12-02 13:48:00,Y
4,MSKU0000004,4,5,20,OPEN_TOP,FULL,2025-08-21 08:12:00,2025-09-05 08:12:00,Y
5,ONEU0000005,5,6,40,DRY,FULL,2025-10-27 02:16:00,2025-11-20 02:16:00,Y
6,COSU0000006,6,8,40,DRY,FULL,2026-01-24 00:25:00,2026-03-05 00:25:00,Y
7,EMCU0000007,7,6,20,DRY,FULL,2025-11-14 05:48:00,2025-11-23 05:48:00,Y
8,YMLU0000008,8,7,40,DRY,FULL,2025-11-10 17:51:00,2025-12-11 17:51:00,Y
9,OOLU0000009,9,4,40,OPEN_TOP,EMPTY,2025-11-15 17:32:00,2025-12-07 17:32:00,Y
10,PILU0000010,10,8,20,DRY,FULL,2025-09-11 19:34:00,2025-09-28 19:34:00,Y
11,MAYU0000011,11,7,20,DRY,FULL,2025-12-20 15:25:00,2026-01-30 15:25:00,Y
12,HLBU0000012,12,5,40,DRY,FULL,2026-01-01 18:48:00,2026-01-16 18:48:00,Y
13,CMAU0000013,1,8,20,DRY,FULL,2025-12-16 02:09:00,2026-01-17 02:09:00,Y
14,MSKU0000014,2,7,40,DRY,EMPTY,2025-10-13 10:43:00,2025-10-31 10:43:00,Y
15,ONEU0000015,3,4,20,REEFER,FULL,2025-09-18 05:38:00,2025-10-21 05:38:00,Y
16,COSU0000016,4,3,40,REEFER,FULL,2025-12-30 17:16:00,2026-01-28 17:16:00,Y
17,EMCU0000017,5,6,20,OPEN_TOP,FULL,2025-09-07 17:57:00,2025-10-16 17:57:00,Y
18,YMLU0000018,6,8,40,DRY,EMPTY,2026-01-10 04:35:00,2026-02-02 04:35:00,Y
19,OOLU0000019,7,6,40,DRY,EMPTY,2025-12-05 04:47:00,2026-01-19 04:47:00,Y
20,PILU0000020,8,5,40,DRY,EMPTY,2025-12-05 05:32:00,2025-12-08 05:32:00,Y
21,MAYU0000021,9,3,20,TANK,EMPTY,2025-09-22 09:20:00,2025-10-04 09:20:00,Y
22,HLBU0000022,10,1,20,FLAT_RACK,FULL,2025-12-28 11:16:00,2026-01-08 11:16:00,Y
23,CMAU0000023,11,4,20,DRY,FULL,2025-12-07 13:24:00,2026-01-14 13:24:00,Y
24,MSKU0000024,12,1,20,DRY,FULL,2025-10-18 03:31:00,2025-10-19 03:31:00,Y
25,ONEU0000025,1,4,40,DRY,FULL,2025-12-15 14:20:00,2025-12-18 14:20:00,Y
26,COSU0000026,2,4,40,DRY,FULL,2025-10-14 04:01:00,2025-10-28 04:01:00,Y
27,EMCU0000027,3,8,40,DRY,EMPTY,2025-12-18 11:06:00,2026-01-26 11:06:00,Y
28,YMLU0000028,4,5,20,DRY,FULL,2025-11-27 16:19:00,2025-12-28 16:19:00,Y
29,OOLU0000029,5,7,20,OPEN_TOP,FULL,2025-10-21 07:45:00,2025-11-18 07:45:00,Y
30,PILU0000030,6,8,40,DRY,EMPTY,2025-10-16 13:17:00,2025-11-29 13:17:00,Y
31,MAYU0000031,7,3,40,FLAT_RACK,FULL,2026-01-11 19:34:00,2026-01-15 19:34:00,Y
32,HLBU0000032,8,6,40,DRY,FULL,2025-11-01 13:23:00,2025-12-08 13:23:00,Y
33,CMAU0000033,9,3,40,REEFER,FULL,2025-11-02 09:24:00,2025-12-02 09:24:00,Y
34,MSKU0000034,10,7,40,DRY,FULL,2025-10-16 07:05:00,2025-11-30 07:05:00,Y
35,ONEU0000035,11,5,40,DRY,FULL,2025-08-17 02:50:00,2025-08-25 02:50:00,Y
36,COSU0000036,12,3,20,DRY,FULL,2026-01-16 07:40:00,2026-02-25 07:40:00,Y
37,EMCU0000037,1,8,40,DRY,FULL,2025-10-13 02:27:00,2025-11-20 02:27:00,Y
38,YMLU0000038,2,4,40,FLAT_RACK,FULL,2025-12-21 12:14:00,2025-12-24 12:14:00,Y
39,OOLU0000039,3,1,40,OPEN_TOP,FULL,2026-01-23 07:02:00,2026-02-02 07:02:00,Y
40,PILU0000040,4,6,40,OPEN_TOP,FULL,2025-11-21 09:15:00,2025-12-08 09:15:00,Y
41,MAYU0000041,5,7,40,DRY,EMPTY,2025-08-14 18:20:00,2025-08-21 18:20:00,Y
42,HLBU0000042,6,4,20,DRY,FULL,2025-11-24 10:09:00,2025-12-25 10:09:00,Y
43,CMAU0000043,7,2,40,DRY,FULL,2025-09-13 04:10:00,2025-10-25 04:10:00,Y
44,MSKU0000044,8,7,40,DRY,EMPTY,2025-08-14 00:34:00,2025-09-12 00:34:00,Y
45,ONEU0000045,9,4,40,TANK,FULL,2025-12-21 08:58:00,2026-01-22 08:58:00,Y
46,COSU0000046,10,2,20,DRY,FULL,2025-11-25 06:41:00,2025-12-14 06:41:00,Y
47,EMCU0000047,11,2,20,DRY,FULL,2025-10-01 06:29:00,2025-11-07 06:29:00,Y
48,YMLU0000048,12,6,40,DRY,EMPTY,2025-09-14 00:48:00,2025-10-18 00:48:00,Y
49,OOLU0000049,1,5,20,FLAT_RACK,FULL,2026-01-06 03:17:00,2026-02-12 03:17:00,Y
50,PILU0000050,2,2,40,OPEN_TOP,FULL,2025-08-17 02:40:00,2025-09-05 02:40:00,Y
51,MAYU0000051,3,6,40,DRY,FULL,2025-12-09 02:18:00,2026-01-09 02:18:00,Y
52,HLBU0000052,4,3,20,DRY,FULL,2025-12-19 06:30:00,2026-01-17 06:30:00,Y
53,CMAU0000053,5,8,20,DRY,FULL,2025-09-13 11:57:00,2025-10-02 11:57:00,Y
54,MSKU0000054,6,2,20,REEFER,FULL,2025-10-19 03:46:00,2025-11-23 03:46:00,Y
55,ONEU0000055,7,7,40,TANK,FULL,2025-12-03 19:40:00,2025-12-14 19:40:00,Y
56,COSU0000056,8,5,40,DRY,EMPTY,2025-10-23 02:17:00,2025-10-28 02:17:00,Y
57,EMCU0000057,9,7,20,DRY,EMPTY,2025-08-29 15:30:00,2025-09-22 15:30:00,Y
58,YMLU0000058,10,5,40,DRY,EMPTY,2025-11-02 06:38:00,2025-11-20 06:38:00,Y
59,OOLU0000059,11,2,40,DRY,FULL,2025-11-13 08:27:00,2025-12-25 08:27:00,Y
60,PILU0000060,12,2,40,OPEN_TOP,FULL,2025-09-14 19:57:00,2025-10-28 19:57:00,Y
61,MAYU0000061,1,2,40,DRY,EMPTY,2025-11-25 07:30:00,2025-12-26 07:30:00,Y
62,HLBU0000062,2,4,40,DRY,FULL,2025-12-05 11:54:00,2025-12-12 11:54:00,Y
63,CMAU0000063,3,7,20,DRY,EMPTY,2025-11-25 17:08:00,2025-12-08 17:08:00,Y
64,MSKU0000064,4,4,40,DRY,FULL,2025-12-10 06:31:00,2026-01-21 06:31:00,Y
65,ONEU0000065,5,6,40,REEFER,FULL,2025-11-16 16:58:00,2025-12-17 16:58:00,Y
66,COSU0000066,6,3,40,REEFER,FULL,2025-09-28 02:17:00,2025-10-04 02:17:00,Y
67,EMCU0000067,7,8,20,REEFER,FULL,2025-11-23 12:32:00,2026-01-03 12:32:00,Y
68,YMLU0000068,8,2,40,OPEN_TOP,FULL,2025-10-04 17:42:00,2025-10-29 17:42:00,Y
69,OOLU0000069,9,7,20,TANK,FULL,2025-09-26 10:19:00,2025-10-10 10:19:00,Y
70,PILU0000070,10,3,40,DRY,FULL,2026-01-12 14:02:00,2026-02-15 14:02:00,Y
71,MAYU0000071,11,5,40,DRY,FULL,2026-01-16 06:41:00,2026-02-05 06:41:00,Y
72,HLBU0000072,12,4,40,DRY,FULL,2025-10-11 11:21:00,2025-11-10 11:21:00,Y
73,CMAU0000073,1,4,20,DRY,FULL,2025-12-25 09:11:00,2026-01-27 09:11:00,Y
74,MSKU0000074,2,3,40,DRY,FULL,2025-08-14 12:19:00,2025-09-12 12:19:00,Y
75,ONEU0000075,3,2,40,DRY,FULL,2025-10-25 00:07:00,2025-11-25 00:07:00,Y
76,COSU0000076,4,4,40,REEFER,EMPTY,2025-12-14 05:10:00,2026-01-01 05:10:00,Y
77,EMCU0000077,5,1,40,REEFER,EMPTY,2025-09-30 08:34:00,2025-11-12 08:34:00,Y
78,YMLU0000078,6,1,40,DRY,FULL,2025-11-05 04:38:00,2025-11-15 04:38:00,Y
79,OOLU0000079,7,6,40,FLAT_RACK,EMPTY,2026-01-25 11:53:00,2026-01-28 11:53:00,Y
80,PILU0000080,8,7,40,OPEN_TOP,FULL,2025-09-21 01:33:00,2025-10-22 01:33:00,Y
81,MAYU0000081,9,8,40,FLAT_RACK,FULL,2025-12-11 10:36:00,2026-01-25 10:36:00,Y
82,HLBU0000082,10,6,40,DRY,FULL,2025-12-02 03:20:00,2026-01-01 03:20:00,Y
83,CMAU0000083,11,4,20,REEFER,FULL,2025-08-17 00:55:00,2025-09-06 00:55:00,Y
84,MSKU0000084,12,6,40,DRY,FULL,2025-09-27 07:14:00,2025-11-08 07:14:00,Y
85,ONEU0000085,1,1,20,REEFER,FULL,2026-01-16 19:24:00,2026-02-04 19:24:00,Y
86,COSU0000086,2,8,40,DRY,EMPTY,2025-12-08 19:47:00,2025-12-15 19:47:00,Y
87,EMCU0000087,3,8,20,REEFER,FULL,2025-08-31 19:09:00,2025-10-03 19:09:00,Y
88,YMLU0000088,4,7,40,OPEN_TOP,EMPTY,2025-08-17 11:44:00,2025-09-13 11:44:00,Y
89,OOLU0000089,5,7,20,REEFER,FULL,2025-08-28 18:54:00,2025-09-29 18:54:00,Y
90,PILU0000090,6,5,40,TANK,FULL,2025-12-08 13:37:00,2026-01-09 13:37:00,Y
91,MAYU0000091,7,3,40,DRY,FULL,2025-11-28 10:40:00,2026-01-12 10:40:00,Y
92,HLBU0000092,8,8,40,DRY,FULL,2025-12-09 06:15:00,2026-01-18 06:15:00,Y
93,CMAU0000093,9,7,20,DRY,FULL,2025-09-28 07:01:00,2025-10-17 07:01:00,Y
94,MSKU0000094,10,2,20,DRY,FULL,2025-10-15 08:32:00,2025-11-18 08:32:00,Y
95,ONEU0000095,11,7,40,DRY,EMPTY,2025-10-17 03:46:00,2025-10-20 03:46:00,Y
96,COSU0000096,12,4,40,DRY,EMPTY,2025-11-28 01:21:00,2025-12-16 01:21:00,Y
97,EMCU0000097,1,8,20,DRY,FULL,2025-08-22 17:56:00,2025-08-26 17:56:00,Y
98,YMLU0000098,2,6,40,REEFER,FULL,2025-11-20 07:06:00,2025-11-28 07:06:00,Y
99,OOLU0000099,3,7,20,DRY,FULL,2026-01-03 07:40:00,2026-02-10 07:40:00,Y
100,PILU0000100,4,4,40,DRY,EMPTY,2025-12-05 02:56:00,2026-01-04 02:56:00,Y
101,MAYU0000101,5,1,40,DRY,FULL,2025-09-25 17:28:00,2025-11-08 17:28:00,Y
102,HLBU0000102,6,2,20,DRY,EMPTY,2025-09-13 10:31:00,2025-10-10 10:31:00,Y
103,CMAU0000103,7,6,40,DRY,FULL,2025-11-25 11:25:00,2025-12-27 11:25:00,Y
104,MSKU0000104,8,2,40,DRY,FULL,2026-01-18 05:50:00,2026-01-26 05:50:00,Y
105,ONEU0000105,9,1,20,DRY,FULL,2025-10-23 09:11:00,2025-11-21 09:11:00,Y
106,COSU0000106,10,1,20,DRY,FULL,2026-01-13 12:16:00,2026-02-24 12:16:00,Y
107,EMCU0000107,11,7,20,DRY,FULL,2025-09-27 08:51:00,2025-10-24 08:51:00,Y
108,YMLU0000108,12,1,20,DRY,FULL,2025-12-30 14:59:00,2026-01-24 14:59:00,Y
109,OOLU0000109,1,2,40,OPEN_TOP,FULL,2026-01-17 14:30:00,2026-01-25 14:30:00,Y
110,PILU0000110,2,6,20,REEFER,FULL,2025-08-23 04:33:00,2025-10-03 04:33:00,Y
111,MAYU0000111,3,6,20,REEFER,FULL,2026-01-02 01:38:00,2026-01-07 01:38:00,Y
112,HLBU0000112,4,7,40,DRY,FULL,2025-09-16 13:07:00,2025-10-11 13:07:00,Y
113,CMAU0000113,5,1,40,DRY,FULL,2025-11-26 19:54:00,2025-11-29 19:54:00,Y
114,MSKU0000114,6,1,20,REEFER,FULL,2025-12-18 08:16:00,2026-01-31 08:16:00,Y
115,ONEU0000115,7,3,40,DRY,FULL,2025-12-16 00:49:00,2025-12-27 00:49:00,Y
116,COSU0000116,8,1,40,DRY,FULL,2025-11-09 11:05:00,2025-12-07 11:05:00,Y
117,EMCU0000117,9,3,40,DRY,EMPTY,2025-10-25 18:32:00,2025-11-18 18:32:00,Y
118,YMLU0000118,10,1,20,REEFER,FULL,2026-01-12 18:16:00,2026-01-29 18:16:00,Y
119,OOLU0000119,11,3,20,OPEN_TOP,FULL,2026-01-22 05:23:00,2026-03-08 05:23:00,Y
120,PILU0000120,12,3,40,FLAT_RACK,FULL,2025-12-15 14:17:00,2025-12-22 14:17:00,Y
121,MAYU0000121,1,4,40,OPEN_TOP,FULL,2025-09-20 06:53:00,2025-09-28 06:53:00,Y
122,HLBU0000122,2,5,40,DRY,FULL,2025-09-07 08:12:00,2025-10-11 08:12:00,Y
123,CMAU0000123,3,3,40,REEFER,FULL,2025-09-18 00:09:00,2025-10-10 00:09:00,Y
