container_id,container_no,shipping_line_id,yard_area_id,container_size,container_type,full_empty,gate_in_ts,gate_out_ts,hist,error_reason
1,MAYU0000001,1,2,40,DRY,FULL,2025-09-06 00:12:00,2025-10-13 00:12:00,Y,Rule 07: full_empty phải là F hoặc E
2,HLBU0000002,2,4,40,DRY,FULL,2025-09-12 14:09:00,2025-10-11 14:09:00,Y,Rule 07: full_empty phải là F hoặc E
3,CMAU0000003,3,4,40,REEFER,FULL,2025-11-26 13:48:00,2025-12-02 13:48:00,Y,Rule 07: full_empty phải là F hoặc E
4,MSKU0000004,4,5,20,OPEN_TOP,FULL,2025-08-21 08:12:00,2025-09-05 08:12:00,Y,Rule 07: full_empty phải là F hoặc E
5,ONEU0000005,5,6,40,DRY,FULL,2025-10-27 02:16:00,2025-11-20 02:16:00,Y,Rule 07: full_empty phải là F hoặc E
6,COSU0000006,6,8,40,DRY,FULL,2026-01-24 00:25:00,2026-03-05 00:25:00,Y,Rule 07: full_empty phải là F hoặc E
7,EMCU0000007,7,6,20,DRY,FULL,2025-11-14 05:48:00,2025-11-23 05:48:00,Y,Rule 07: full_empty phải là F hoặc E
8,YMLU0000008,8,7,40,DRY,FULL,2025-11-10 17:51:00,2025-12-11 17:51:00,Y,Rule 07: full_empty phải là F hoặc E
9,OOLU0000009,9,4,40,OPEN_TOP,EMPTY,2025-11-15 17:32:00,2025-12-07 17:32:00,Y,Rule 07: full_empty phải là F hoặc E
10,PILU0000010,10,8,20,DRY,FULL,2025-09-11 19:34:00,2025-09-28 19:34:00,Y,Rule 07: full_empty phải là F hoặc E
11,MAYU0000011,11,7,20,DRY,FULL,2025-12-20 15:25:00,2026-01-30 15:25:00,Y,Rule 07: full_empty phải là F hoặc E
12,HLBU0000012,12,5,40,DRY,FULL,2026-01-01 18:48:00,2026-01-16 18:48:00,Y,Rule 07: full_empty phải là F hoặc E
13,CMAU0000013,1,8,20,DRY,FULL,2025-12-16 02:09:00,2026-01-17 02:09:00,Y,Rule 07: full_empty phải là F hoặc E
14,MSKU0000014,2,7,40,DRY,EMPTY,2025-10-13 10:43:00,2025-10-31 10:43:00,Y,Rule 07: full_empty phải là F hoặc E
15,ONEU0000015,3,4,20,REEFER,FULL,2025-09-18 05:38:00,2025-10-21 05:38:00,Y,Rule 07: full_empty phải là F hoặc E
16,COSU0000016,4,3,40,REEFER,FULL,2025-12-30 17:16:00,2026-01-28 17:16:00,Y,Rule 07: full_empty phải là F hoặc E
17,EMCU0000017,5,6,20,OPEN_TOP,FULL,2025-09-07 17:57:00,2025-10-16 17:57:00,Y,Rule 07: full_empty phải là F hoặc E
18,YMLU0000018,6,8,40,DRY,EMPTY,2026-01-10 04:35:00,2026-02-02 04:35:00,Y,Rule 07: full_empty phải là F hoặc E
19,OOLU0000019,7,6,40,DRY,EMPTY,2025-12-05 04:47:00,2026-01-19 04:47:00,Y,Rule 07: full_empty phải là F hoặc E
20,PILU0000020,8,5,40,DRY,EMPTY,2025-12-05 05:32:00,2025-12-08 05:32:00,Y,Rule 07: full_empty phải là F hoặc E
21,MAYU0000021,9,3,20,TANK,EMPTY,2025-09-22 09:20:00,2025-10-04 09:20:00,Y,Rule 07: full_empty phải là F hoặc E
22,HLBU0000022,10,1,20,FLAT_RACK,FULL,2025-12-28 11:16:00,2026-01-08 11:16:00,Y,Rule 07: full_empty phải là F hoặc E
23,CMAU0000023,11,4,20,DRY,FULL,2025-12-07 13:24:00,2026-01-14 13:24:00,Y,Rule 07: full_empty phải là F hoặc E
